GRADE OR SERVICE CATEGORY##,DISTRICT###,PROGRAM,AVERAGE CLASS SIZE
6,1,GENERAL EDUCATION ,21.3
6,1,COLLABORATIVE TEAM TEACHING    ,30.3
6,1,GIFTED & TALENTED    ,12.6
6,2,GENERAL EDUCATION ,27.4
6,2,COLLABORATIVE TEAM TEACHING    ,23.8
6,2,GIFTED & TALENTED    ,32.4
6,3,GENERAL EDUCATION ,27.1
6,3,COLLABORATIVE TEAM TEACHING    ,21
6,3,GIFTED & TALENTED    ,30.1
6,4,GENERAL EDUCATION ,23.6
6,4,COLLABORATIVE TEAM TEACHING    ,23.3
6,4,GIFTED & TALENTED    ,26.2
6,5,GENERAL EDUCATION ,22.1
6,5,COLLABORATIVE TEAM TEACHING    ,21.3
6,6,GENERAL EDUCATION ,24.8
6,6,COLLABORATIVE TEAM TEACHING    ,22.7
6,6,GIFTED & TALENTED    ,27.3
6,7,GENERAL EDUCATION ,27
6,7,COLLABORATIVE TEAM TEACHING    ,21.8
6,8,GENERAL EDUCATION ,26.6
6,8,COLLABORATIVE TEAM TEACHING    ,22.2
6,9,GENERAL EDUCATION ,24
6,9,COLLABORATIVE TEAM TEACHING    ,21.2
6,10,GENERAL EDUCATION ,25.6
6,10,COLLABORATIVE TEAM TEACHING    ,26.1
6,10,GIFTED & TALENTED    ,29.7
6,11,GENERAL EDUCATION ,27.4
6,11,COLLABORATIVE TEAM TEACHING    ,18.3
6,12,GENERAL EDUCATION ,22.6
6,12,COLLABORATIVE TEAM TEACHING    ,20.3
6,13,GENERAL EDUCATION ,21.2
6,13,COLLABORATIVE TEAM TEACHING    ,18.5
6,14,GENERAL EDUCATION ,24.5
6,14,COLLABORATIVE TEAM TEACHING    ,22
6,15,GENERAL EDUCATION ,22.7
6,15,COLLABORATIVE TEAM TEACHING    ,25.2
6,15,GIFTED & TALENTED    ,29.5
6,16,GENERAL EDUCATION ,24.6
6,17,GENERAL EDUCATION ,23.5
6,17,COLLABORATIVE TEAM TEACHING    ,22.2
6,17,GIFTED & TALENTED    ,28.8
6,18,GENERAL EDUCATION ,24.9
6,18,COLLABORATIVE TEAM TEACHING    ,21
6,18,GIFTED & TALENTED    ,27.4
6,19,GENERAL EDUCATION ,21.3
6,19,COLLABORATIVE TEAM TEACHING    ,17.7
6,19,GIFTED & TALENTED    ,25.8
6,20,GENERAL EDUCATION ,27.4
6,20,COLLABORATIVE TEAM TEACHING    ,27.2
6,20,GIFTED & TALENTED    ,30.8
6,21,GENERAL EDUCATION ,27.2
6,21,COLLABORATIVE TEAM TEACHING    ,25.7
6,21,GIFTED & TALENTED    ,30.4
6,22,GENERAL EDUCATION ,28.5
6,22,COLLABORATIVE TEAM TEACHING    ,27.5
6,22,GIFTED & TALENTED    ,28.1
6,23,GENERAL EDUCATION ,23.3
6,23,COLLABORATIVE TEAM TEACHING    ,24.3
6,32,COLLABORATIVE TEAM TEACHING    ,22.3
6,32,GIFTED & TALENTED    ,28.2
6,23,GIFTED & TALENTED    ,23.8
6,32,GENERAL EDUCATION ,21.9
6,32,COLLABORATIVE TEAM TEACHING    ,22.3
6,32,GIFTED & TALENTED    ,28.2
6,24,GENERAL EDUCATION ,26.7
6,24,COLLABORATIVE TEAM TEACHING    ,27
6,25,GENERAL EDUCATION ,27.1
6,25,COLLABORATIVE TEAM TEACHING    ,23.9
6,25,GIFTED & TALENTED    ,30.5
6,26,GENERAL EDUCATION ,30.4
6,26,COLLABORATIVE TEAM TEACHING    ,22.5
6,26,GIFTED & TALENTED    ,32
6,27,GENERAL EDUCATION ,26
6,27,COLLABORATIVE TEAM TEACHING    ,23.7
6,27,GIFTED & TALENTED    ,27.9
6,28,GENERAL EDUCATION ,26.1
6,29,GENERAL EDUCATION ,26.2
6,29,COLLABORATIVE TEAM TEACHING    ,22.7
6,30,GENERAL EDUCATION ,26.2
6,30,COLLABORATIVE TEAM TEACHING    ,24.7
6,30,GIFTED & TALENTED    ,27.7
6,31,GENERAL EDUCATION ,30.4
6,31,COLLABORATIVE TEAM TEACHING    ,29.3
